model,prompt_type,language,cefr,file,repetitive_words_removed,invalid_sentences_removed,long_words_removed,invalid_char_words_removed
google--gemma-3-4b-it,constrained,English,B1,0217-023957.json,0,3,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-021933.json,0,11,0,2
google--gemma-3-4b-it,constrained,English,B1,0217-021310.json,0,3,0,3
google--gemma-3-4b-it,constrained,English,B1,0217-031234.json,0,3,0,3
google--gemma-3-4b-it,constrained,English,B1,0217-025932.json,0,2,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-022848.json,0,1,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-025505.json,0,45,0,2
google--gemma-3-4b-it,constrained,English,B1,0217-023318.json,0,65,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-030548.json,0,3,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-025313.json,0,0,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-031018.json,0,61,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-030126.json,1,45,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-030325.json,0,44,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-022615.json,0,51,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-023708.json,0,47,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-024605.json,0,0,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-030738.json,0,49,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-021014.json,7,2,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-020521.json,0,1,1,1
google--gemma-3-4b-it,constrained,English,B1,0217-024158.json,0,2,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-020827.json,0,74,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-025050.json,0,1,0,2
google--gemma-3-4b-it,constrained,English,B1,0217-024756.json,0,63,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-025706.json,0,1,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-022130.json,0,2,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-023541.json,0,3,0,2
google--gemma-3-4b-it,constrained,English,B1,0217-021732.json,0,0,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-023058.json,0,58,0,0
google--gemma-3-4b-it,constrained,English,B1,0217-022408.json,0,70,0,1
google--gemma-3-4b-it,constrained,English,B1,0217-021511.json,0,58,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-034948.json,0,2,0,3
google--gemma-3-4b-it,constrained,English,C1,0217-050820.json,0,2,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-045628.json,0,1,0,7
google--gemma-3-4b-it,constrained,English,C1,0217-043645.json,0,2,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-041037.json,0,2,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-050036.json,3,2,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-032620.json,0,42,1,4
google--gemma-3-4b-it,constrained,English,C1,0217-034534.json,1,0,0,6
google--gemma-3-4b-it,constrained,English,C1,0217-042608.json,0,2,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-035856.json,0,1,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-040252.json,0,4,2,16
google--gemma-3-4b-it,constrained,English,C1,0217-052249.json,0,1,0,3
google--gemma-3-4b-it,constrained,English,C1,0217-044827.json,1,1,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-033201.json,2,2,0,3
google--gemma-3-4b-it,constrained,English,C1,0217-045210.json,0,2,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-033631.json,0,5,0,3
google--gemma-3-4b-it,constrained,English,C1,0217-042932.json,0,2,0,4
google--gemma-3-4b-it,constrained,English,C1,0217-034140.json,0,4,0,9
google--gemma-3-4b-it,constrained,English,C1,0217-032146.json,1,1,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-043332.json,1,1,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-051323.json,0,2,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-044454.json,0,4,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-035444.json,2,3,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-053157.json,0,0,0,12
google--gemma-3-4b-it,constrained,English,C1,0217-050423.json,3,1,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-042242.json,0,2,0,2
google--gemma-3-4b-it,constrained,English,C1,0217-051849.json,1,6,0,1
google--gemma-3-4b-it,constrained,English,C1,0217-041613.json,0,5,0,6
google--gemma-3-4b-it,constrained,English,C1,0217-044037.json,2,2,0,0
google--gemma-3-4b-it,constrained,English,C1,0217-031850.json,0,4,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015702.json,1,38,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014542.json,1,53,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014713.json,0,40,0,1
google--gemma-3-4b-it,constrained,English,A1,0217-015952.json,0,32,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-020118.json,0,56,0,1
google--gemma-3-4b-it,constrained,English,A1,0217-014026.json,0,32,0,1
google--gemma-3-4b-it,constrained,English,A1,0217-014205.json,0,42,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014119.json,0,45,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015348.json,0,34,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015605.json,0,43,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014631.json,0,40,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015106.json,0,28,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014757.json,0,38,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014411.json,0,37,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015822.json,1,47,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014936.json,0,41,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-020202.json,1,47,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015436.json,0,51,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014326.json,0,39,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014246.json,1,31,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015735.json,0,30,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015230.json,0,27,0,1
google--gemma-3-4b-it,constrained,English,A1,0217-015157.json,0,40,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014455.json,0,47,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015905.json,0,41,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015028.json,0,42,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-014843.json,0,45,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-015312.json,1,53,0,0
google--gemma-3-4b-it,constrained,English,A1,0217-020029.json,0,29,0,1
google--gemma-3-4b-it,constrained,English,A1,0217-015516.json,0,49,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-225756.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-220655.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-223341.json,0,1,0,1
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-222352.json,0,5,1,4
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-221435.json,1,2,0,4
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-220917.json,2,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-223609.json,0,4,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-215458.json,0,1,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-224125.json,0,2,0,1
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-220000.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-231545.json,0,0,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-230742.json,0,2,0,1
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-224535.json,0,4,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-223052.json,1,1,0,2
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-225409.json,3,15,0,11
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-225148.json,0,0,0,1
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-224839.json,0,3,0,1
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-220447.json,0,1,0,3
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-223911.json,0,4,0,2
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-231411.json,1,16,0,10
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-220252.json,0,81,0,19
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-221200.json,0,6,0,2
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-230415.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-231834.json,0,0,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-222636.json,0,5,0,7
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-231111.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-221709.json,0,2,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-215720.json,0,0,0,0
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-230123.json,0,3,0,8
google--gemma-3-4b-it,constrained,Lithuanian,B1,0216-224339.json,0,1,0,2
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-005501.json,2,7,0,20
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-000147.json,0,1,0,25
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-000554.json,3,12,0,3
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-011142.json,0,6,0,16
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-004938.json,0,1,0,0
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-010545.json,0,1,0,1
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-001413.json,2,5,0,1
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-003653.json,0,3,0,5
google--gemma-3-4b-it,constrained,Lithuanian,C1,0216-233339.json,1,4,0,0
google--gemma-3-4b-it,constrained,Lithuanian,C1,0216-232715.json,0,7,0,6
google--gemma-3-4b-it,constrained,Lithuanian,C1,0216-234955.json,0,2,0,6
google--gemma-3-4b-it,constrained,Lithuanian,C1,0217-002108.json,0,5,0,0
